account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
15776856,38610979,Team1,13,11,2,11,0,34431
25821887,38610979,Team0,3,8,8,1,3,30733
889372521,38610979,Team1,1,6,4,9,4,33334
370318526,38611246,Team1,20,3,9,9,4,32048
1521580544,38611246,Team0,1,8,8,24,2,36033
383224684,38611246,Team0,12,4,6,20,7,33978
131256035,38611246,Team0,13,14,10,15,4,37892
236584583,38611246,Team1,19,8,12,7,0,30099
321601241,38611246,Team1,58,3,12,14,2,31333
919161010,38611246,Team1,31,14,6,20,1,37761
323235963,38611246,Team1,7,11,10,7,5,34097
109093321,38611246,Team0,10,1,11,18,3,33341
888853854,38611246,Team0,17,15,8,21,4,44173
1189626894,38611246,Team1,14,7,7,12,1,36396
1653167506,38611246,Team0,25,14,3,16,5,42714
1924359739,38611347,Team0,1,5,5,17,3,37931
145596499,38611347,Team1,19,14,13,9,3,33345
1744135770,38611347,Team0,58,15,5,16,2,42314
1903739657,38611347,Team1,10,3,9,14,0,32464
174042857,38611347,Team0,31,10,9,14,2,43305
190395246,38611347,Team1,2,8,7,9,1,38347
348408772,38611347,Team0,14,8,6,14,3,37493
120337004,38611347,Team0,6,8,9,19,3,36156
1478890615,38611347,Team1,12,6,4,19,0,46573
900146858,38611347,Team1,3,3,8,15,3,32295
1091813214,38611347,Team0,7,7,8,25,4,36730
